Date,Hour,PV Generation (MW),Wind Generation (MW)
28-Jan,7,0.013,0.393
28-Jan,8,0.057,0.384
28-Jan,9,0.108,0.365
28-Jan,10,0.150,0.359
28-Jan,11,0.162,0.382
28-Jan,12,0.133,0.409
28-Jan,13,0.093,0.432
28-Jan,14,0.046,0.439
28-Jan,15,0.011,0.458
28-Jan,16,0.000,0.449
28-Jan,17,0.000,0.426
28-Jan,18,0.000,0.418
28-Jan,19,0.000,0.413
28-Jan,20,0.000,0.403
28-Jan,21,0.000,0.394
28-Jan,22,0.000,0.389
28-Jan,23,0.000,0.400
29-Jan,0,0.000,0.405
29-Jan,1,0.000,0.399
29-Jan,2,0.000,0.394
29-Jan,3,0.000,0.390
29-Jan,4,0.000,0.361
29-Jan,5,0.000,0.335
29-Jan,6,0.000,0.305
29-Jan,7,0.012,0.272
29-Jan,8,0.053,0.224
29-Jan,9,0.115,0.197
29-Jan,10,0.187,0.186
29-Jan,11,0.225,0.183
29-Jan,12,0.227,0.181
29-Jan,13,0.182,0.161
29-Jan,14,0.107,0.138
29-Jan,15,0.031,0.129
29-Jan,16,0.001,0.159
29-Jan,17,0.000,0.193
29-Jan,18,0.000,0.236
29-Jan,19,0.000,0.262
29-Jan,20,0.000,0.273
29-Jan,21,0.000,0.270
29-Jan,22,0.000,0.269
29-Jan,23,0.000,0.285
30-Jan,0,0.000,0.300
30-Jan,1,0.000,0.315
30-Jan,2,0.000,0.325
30-Jan,3,0.000,0.337
30-Jan,4,0.000,0.351
30-Jan,5,0.000,0.368
30-Jan,6,0.000,0.378
30-Jan,7,0.021,0.376
30-Jan,8,0.079,0.367
30-Jan,9,0.139,0.355
30-Jan,10,0.202,0.366
30-Jan,11,0.237,0.381
30-Jan,12,0.196,0.409
30-Jan,13,0.127,0.413
30-Jan,14,0.062,0.419
30-Jan,15,0.012,0.423
30-Jan,16,0.000,0.439
30-Jan,17,0.000,0.439
30-Jan,18,0.000,0.433
30-Jan,19,0.000,0.407
30-Jan,20,0.000,0.366
30-Jan,21,0.000,0.322
30-Jan,22,0.000,0.292
30-Jan,23,0.000,0.267
31-Jan,0,0.000,0.243
31-Jan,1,0.000,0.225
31-Jan,2,0.000,0.207
31-Jan,3,0.000,0.189
31-Jan,4,0.000,0.171
31-Jan,5,0.000,0.164
31-Jan,6,0.000,0.164
31-Jan,7,0.032,0.162
31-Jan,8,0.124,0.149
31-Jan,9,0.222,0.122
31-Jan,10,0.294,0.108
31-Jan,11,0.327,0.101
31-Jan,12,0.317,0.089
31-Jan,13,0.249,0.076
31-Jan,14,0.134,0.057
31-Jan,15,0.030,0.060
31-Jan,16,0.000,0.097
31-Jan,17,0.000,0.163
31-Jan,18,0.000,0.236
31-Jan,19,0.000,0.291
31-Jan,20,0.000,0.330
31-Jan,21,0.000,0.344
31-Jan,22,0.000,0.366
31-Jan,23,0.000,0.392
1-Feb,0,0.000,0.398
1-Feb,1,0.000,0.405
1-Feb,2,0.000,0.406
1-Feb,3,0.000,0.408
1-Feb,4,0.000,0.399
1-Feb,5,0.000,0.397
1-Feb,6,0.000,0.379
1-Feb,7,0.015,0.338
1-Feb,8,0.045,0.298
1-Feb,9,0.077,0.274
1-Feb,10,0.100,0.252
